0	7
000	4
0007	1
00272	1
00578	1
009	1
01	1
011	1
02	10
0251	1
1	17
10	5
100	2
1000	1
101	1
102	1
1024	1
103	1
104	3
105	1
106	3
107	1
108	3
109	1
11	3
110	2
111	1
112	1
113	1
114	1
115	2
1157	1
116	1
1166	1
117	1
118	1
1184	3
119	1
12	4
120	2
121	1
122	1
123	1
1231	1
1232	1
124	1
1249	2
125	1
1252	1
126	1
1266	1
127	1
1274	1
128	1
129	1
13	6
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
1386	1
139	1
14	3
140	1
141	1
142	1
1429	1
143	1
1430	1
144	1
1449	1
145	1
1457	1
146	1
147	1
1478	3
148	1
1483	1
1484	1
149	1
1492	1
1497	1
15	4
150	3
1520	1
1536	2
1539	1
1540	2
1542	2
1547	1
1555	1
1560	1
1564	1
1586	1
16	3
1600	2
1610	1
1611	1
1616	1
1633	1
1642	1
1657	1
17	3
1700	1
1782	1
1784	1
1793	1
18	4
1815	1
1821	2
1834	2
19	3
1907	1
1917	2
1923	1
1930	2
1933	1
1940	1
1945	1
1950	1
1951	1
1954	1
1958	1
1960	3
1961	2
1963	2
1965	2
1970	5
1971	1
1974	1
1978	1
1979	2
1980	6
1981	1
1982	2
1984	3
1985	1
1986	1
1987	2
1988	4
1989	1
1990	7
1992	3
1994	1
1995	5
1996	3
1997	4
1998	6
1999	5
2	16
20	4
2000	12
2001	11
2002	9
2003	5
2004	7
2005	6
2006	7
2007	7
2008	1
2009	3
201	1
2010	5
2011	5
2012	6
2013	2
2014	4
2015	4
2016	6
2017	2
2018	3
2019	2
2020	4
2021	2
206	1
2066	1
21	4
22	1
220	1
23	2
24	3
243	1
25	4
2500	1
253	1
255	1
26	4
263	1
27	1
28	1
289	3
29	1
2D	2
3	15
30	3
3000	1
31	3
32	2
3234	1
33	3
34	2
34035	1
346	1
35	1
355	1
36	3
360	2
3657	1
366	1
37	1
38	1
39	1
3937	1
3D	4
3DS	1
4	13
40	2
400	1
41	1
42	1
43	3
44	2
45	2
453	1
46	2
47	1
48	2
49	1
4Kids	1
5	5
50	5
51	3
52	5
521	1
53	1
54	4
55	1
56	1
57	2
58	1
59	1
6	7
60	2
61	1
62	1
63	1
63128	1
64	2
65	1
66	3
67	2
68	1
69	1
7	7
70	1
71	1
7110	1
72	3
73	1
74	1
75	1
752	1
76	1
77	1
78	2
7864	1
79	1
7969	1
8	8
80	1
80s	1
81	2
8126	1
82	2
83	4
84	8
8431	1
8434411180	1
8494699597	1
85	1
86	3
87	1
87011	1
88	3
880656	3
89	1
9	10
90	1
91	1
92	1
93	1
9332	1
94	1
95	2
96	1
96144	1
97	2
970	1
978	4
9788432131653	1
9788490830222	1
98	1
99	1
a	509
A	25
Aang	1
abandonar	2
abarca	1
abierta	3
abjuraci	1
abjurar	1
abolendam	2
Abolendam	1
abolida	1
abono	1
abr	3
abren	1
abreviaci	3
Abreviaci	1
abrevie	2
abri	1
abril	4
absoluci	3
absolutamente	1
absorben	1
abundancia	1
abusos	2
ac	1
acabar	1
Academia	2
acarreo	1
acas	1
accesible	1
acci	11
acelerar	1
acentuar	2
aceptada	1
aceptado	1
aceptados	1
aceptando	1
acerca	4
acompa	5
acontecimientos	2
actas	4
Actas	1
activamente	1
actividad	2
actividades	1
acto	1
actor	1
actores	2
actos	1
Actress	1
actuaci	1
actual	3
actuales	1
actualidad	3
actualmente	4
Actualmente	2
actuando	1
actuar	2
acu	1
acuerdo	3
acusaci	1
acusaciones	2
acusado	10
acusadora	1
acusados	3
Ad	5
ada	2
adapt	1
adapta	1
adaptaci	2
adaptaciones	1
adaptada	1
adaptado	2
adaptar	2
adaptarlo	1
adas	2
ade	2
adecuada	1
adecuado	2
adelante	2
adem	7
Adem	6
adeptos	1
adicionalmente	1
adivinaba	1
administrada	1
ado	2
Adobench	6
adolescencia	1
adolescente	3
adolescentes	3
adopt	1
adoraban	1
adorar	1
ados	1
adquiri	2
adultas	1
adulto	1
adultos	3
Advance	2
Adventure	22
Adventurers	1
adversarios	1
advert	1
afectadas	1
afectan	1
affectibus	1
afianzado	1
afirma	2
afirmaci	1
africano	1
africanos	1
Agent	1
agentes	1
agilizar	1
agn	1
agosto	2
agradecieron	1
agrav	1
agravaba	1
agravada	1
agregar	1
agresor	1
agua	2
Aguinis	1
